DNASource,BioSample,Identifer,Country,Year,Serovar,cgMLST,ST,ResistGene,Host,SampleSource
ERR2522099,SAMEA4586849,,Netherlands,2013,,4151,91,"abc-f, fosX, lin",Homo sapiens,
SRR3372251,SAMN04575381,ARS-CC9277,USA,2014,,4152,451,"abc-f, fosX, lin",,Milk filter
SRR6038660,SAMN07646211,FDA1021662-008-001,USA,2017,,4153,7,"fosX, lin",,Environmental_swabs
ERR1599753,SAMEA4398529,SSI_AA102,Denmark,2013,,4154,802,"abc-f, fosX, lin",Homo sapiens,
ERR2522318,SAMEA4587068,,Norway,2013,,4154,802,"abc-f, fosX, lin",Homo sapiens,
ERR2522320,SAMEA4587070,,Norway,2013,,4154,802,"abc-f, fosX, lin",Homo sapiens,
ERR2522321,SAMEA4587071,,Norway,2013,,4154,802,"abc-f, fosX, lin",Homo sapiens,
ERR2522324,SAMEA4587074,,Norway,2013,,4154,802,"abc-f, fosX, lin",Homo sapiens,
ERR2523750,SAMEA4588304,20151389,Denmark,2015,,4155,8,"abc-f, fosX, lin",Homo sapiens,
ERR1599893,SAMEA4398669,SSI_AA243,Denmark,2014,,4155,8,"abc-f, fosX, lin",Homo sapiens,
SRR1207446,SAMN02567817,OSF008013,USA,2013,,4156,321,"fosX, lin",,Environmentla Swab
SRR2062905,SAMN03775254,PNUSAL001417,USA,2015,1/2a,4157,376,"abc-f, fosX, lin",,Blood
SRR2533617,SAMN03462173,CDPHFDLB-F14M01612.54-3,USA,2014,,4158,5,"fosX, lin",,enviornmental swabs
SRR1141170,SAMN02569924,CFSAN007906,USA,2013,,4159,5,"fosX, lin",,envinonmental sponges
SRR1509625,SAMN02769705,MOD1_LS152,USA,1988,1/2a,4160,18,"fosX, lin",Homo sapiens,Blood
SRR1016580,SAMN02383854,PNUSAL000243,USA,2013,1/2b,4161,5,"fosX, lin",,Blood
SRR1201372,SAMN02693867,PNUSAL000619,USA,2014,1/2a,4162,199,"abc-f, fosX, lin, tet(M)",,Blood
SRR4000021,SAMN05425842,FDA930241-50,USA,2016,,4163,321,"fosX, lin",,Environmental swab
SRR1373619,SAMN02849532,CFSAN013592,USA,2013,,4164,321,"fosX, lin",,Environmental: food-contact surface
SRR3215349,SAMN04530840,CFSAN046014,Italy,2011,,4165,7,"fosX, lin",,Cheese
SRR1030263,SAMN02400187,PNUSAL000301,USA,2013,1/2b,4166,5,"fosX, lin",,
SRR5376210,SAMN06641831,FSIS1700264,USA,2017,,4167,296,"fosX, lin",,Environmental: non-food-contact surface
SRR5133476,SAMN06175161,13B07018-6,USA,2013,,4168,296,"fosX, lin",,Herring filet in oil
SRR3309225,SAMN04567720,FLAG-48862,USA,2004,,4169,5,"fosX, lin",,Nova smoked salmon
ERR2261338,SAMEA104485066,12-00164,Germany,2012,2b,4170,5,"fosX, lin",Homo sapiens,Human listeriosis
SRR2134920,SAMN03922742,PNUSAL001568,USA,2015,1/2b,4171,5,"fosX, lin",,Blood
ERR1738813,SAMEA4475936,AF143,France,2001,IIa,4172,37,"abc-f, fosX, lin",,Food
SRR6671558,SAMN08457687,PNUSAL003777,USA,,,4173,4,"fosX, lin",,
SRR1649525,SAMN03164231,FDA870930-12-12,USA,2014,,4174,7,"fosX, lin",,Environmental swab
SRR7164090,SAMN09207809,308824,United Kingdom,2016,1/2a,4175,121,"fosX, lin",Homo sapiens,Human
ERR2261362,SAMEA104485090,14-01104,Germany,2014,2a,4176,8,"abc-f, fosX, lin",Homo sapiens,Human listeriosis
SRR7619095,SAMN09738271,PNUSAL004136,USA,2018,,4177,369,"abc-f, fosX, lin",,CSF
SRR1283112,SAMN02768782,PNUSAL000678,USA,,,4178,87,"fosX, lin",,
ERR2522044,SAMEA4586794,,Netherlands,2012,,4179,398,"abc-f, fosX, lin",Homo sapiens,
SRR1394036,SAMN02854709,PNUSAL000757,USA,,,4180,404,"fosX, lin",,
ERR2135587,SAMEA104314752,,,,,4181,5,"fosX, lin",,
SRR2917162,SAMN03702231,OSF033408,USA,2014,,4182,7,"fosX, lin",,Environmental swab
ERR2261669,SAMEA104485397,16-04237,Germany,2016,2a,4183,8,"abc-f, fosX, lin",Homo sapiens,Human listeriosis
ERR1599808,SAMEA4398584,SSI_AA111,Denmark,2013,,4184,1,"fosX, lin",Homo sapiens,
SRR4294727,SAMN05755938,PNUSAL002371,USA,2016,,4185,5,"fosX, lin",,Blood
SRR3147159,SAMN04450305,FDA934892-04,USA,2016,,4186,321,"fosX, lin",,Environmental
SRR5016686,SAMN05179407,C2010039004,USA,2010,,4187,7,"fosX, lin",,Frozen Hashbrowns
SRR1043171,SAMN02429379,PNUSAL000439,USA,2013,4b,4188,1,"fosX, lin",,Blood
SRR3345821,SAMN04599940,CFSAN045837,Italy,2013,,4189,388,"fosX, lin",,Bovine meat
SRR6457860,SAMN08341428,CFS048,Ireland,2011,,4190,431,"abc-f, fosX, lin",,Environmental
SRR1207497,SAMN02567821,OSF008017,USA,2013,,4191,199,"abc-f, fosX, lin, tet(M)",,Ming bean
ERR2522234,SAMEA4586984,,Netherlands,2015,,4192,37,"abc-f, fosX, lin",Homo sapiens,
SRR5764919,SAMN05410800,A55,Canada,1990,,4193,11,"fosX, lin",,Food
ERR1817014,SAMEA72830668,27B00,New Zealand,2010,,4194,321,"fosX, lin",,Factory
SRR1946892,SAMN02923489,FDA211358-2,USA,2003,,4195,330,"fosX, lin",,Blue crab claw meat
SRR3644432,SAMN04991989,16B01806-2,USA,2016,,4196,155,"fosX, lin",,Environmental sponge
SRR3340446,SAMN04589447,FDA951320-174,USA,2016,,4197,1048,"fosX, lin",,Swab
SRR1451245,SAMN02870141,PNUSAL000695,USA,2014,1/2a,4198,20,"abc-f, fosX, lin",,"""Environmental ISolate, sponge swab"""
